Order_ID,Order_Date,Region,Product_Category,Sub_Category,Units_Sold,Unit_Cost,Unit_Price,Inventory_Days,Revenue,Cost,Profit
ORD00001,2024-12-18,North,Electronics,Mobile,9,130.0,155.23,18,1397.07,1170.0,227.07
ORD00002,2023-12-28,North,Grocery,Snacks,1,55.91,94.65,82,94.65,55.91,38.74
ORD00003,2025-05-12,North,Apparel,Jacket,18,215.56,285.7,40,5142.6,3880.08,1262.52
ORD00004,2024-07-15,North,Apparel,Jacket,14,176.72,204.26,48,2859.64,2474.08,385.56
ORD00005,2025-04-26,North,Electronics,Laptop,4,185.9,240.77,38,963.08,743.6,219.48
ORD00006,2025-03-13,East,Grocery,Grains,4,486.83,546.72,75,2186.88,1947.32,239.56
ORD00007,2024-04-06,East,Furniture,Sofa,7,355.24,366.88,34,2568.16,2486.68,81.48
ORD00008,2023-07-11,South,Electronics,Mobile,4,196.26,267.0,51,1068.0,785.04,282.96
ORD00009,2024-01-25,North,Furniture,Table,7,338.39,445.15,87,3116.05,2368.73,747.32
ORD00010,2024-08-31,South,Apparel,Jacket,8,90.07,150.09,86,1200.72,720.56,480.16
ORD00011,2025-01-14,East,Furniture,Chair,8,412.68,534.41,56,4275.28,3301.44,973.84
ORD00012,2024-04-22,West,Electronics,Mobile,19,439.42,490.05,88,9310.95,8348.98,961.97
ORD00013,2024-05-04,East,Grocery,Grains,15,80.01,105.26,76,1578.9,1200.15,378.75
ORD00014,2024-10-23,West,Grocery,Grains,13,187.38,336.99,22,4380.87,2435.94,1944.93
ORD00015,2025-01-31,North,Electronics,Mobile,4,84.89,113.09,59,452.36,339.56,112.8
ORD00016,2024-01-18,North,Grocery,Beverages,20,498.1,579.82,75,11596.4,9962.0,1634.4
ORD00017,2023-06-29,North,Electronics,Headphones,18,377.93,494.38,48,8898.84,6802.74,2096.1
ORD00018,2025-06-18,South,Furniture,Table,6,232.32,375.62,38,2253.72,1393.92,859.8
ORD00019,2024-10-29,South,Electronics,Headphones,10,422.42,501.03,30,5010.3,4224.2,786.1
ORD00020,2024-01-31,East,Furniture,Chair,18,477.21,615.96,5,11087.28,8589.78,2497.5
ORD00021,2023-12-27,South,Grocery,Snacks,4,465.26,597.67,44,2390.68,1861.04,529.64
ORD00022,2025-04-05,North,Electronics,Mobile,19,474.01,491.43,67,9337.17,9006.19,330.98
ORD00023,2024-03-08,West,Apparel,Shirt,16,473.96,502.9,72,8046.4,7583.36,463.04
ORD00024,2023-07-06,East,Apparel,Jacket,7,359.34,422.19,90,2955.33,2515.38,439.95
ORD00025,2024-10-09,North,Grocery,Grains,15,69.29,106.87,48,1603.05,1039.35,563.7
ORD00026,2024-10-29,South,Apparel,Jacket,8,13.52,121.16,12,969.28,108.16,861.12
ORD00027,2025-01-29,West,Electronics,Mobile,11,44.72,84.23,90,926.53,491.92,434.61
ORD00028,2023-06-27,West,Apparel,Jacket,5,364.44,497.39,78,2486.95,1822.2,664.75
ORD00029,2025-02-05,East,Apparel,Shoes,14,103.3,122.35,60,1712.9,1446.2,266.7
ORD00030,2024-07-18,North,Grocery,Beverages,15,433.28,446.13,88,6691.95,6499.2,192.75
ORD00031,2024-02-09,South,Electronics,Laptop,11,402.29,423.13,29,4654.43,4425.19,229.24
ORD00032,2024-02-15,West,Grocery,Snacks,14,99.91,171.99,14,2407.86,1398.74,1009.12
ORD00033,2023-10-06,South,Electronics,Mobile,18,419.65,565.15,35,10172.7,7553.7,2619.0
